origin,timestamp,horizon,analysis_period,actual_P_kW,actual_Q_kVAr,S24-T10_P_kW,S24-T10_Q_kVAr,S24-T30_P_kW,S24-T30_Q_kVAr,S24-T60_P_kW,S24-T60_Q_kVAr,S36-T60_P_kW,S36-T60_Q_kVAr,S48-T60_P_kW,S48-T60_Q_kVAr,SNaive-168_P_kW,SNaive-168_Q_kVAr,SNaive-24_P_kW,SNaive-24_Q_kVAr
2022-02-15,2022-02-15 07:00:00,8,primary_54,2236.5,661.8000000000001,2205.8555356814754,626.9525144167111,2189.1820597712285,614.0213948921681,2225.831151423569,620.3393844002348,2209.248428797914,626.5980875446285,2198.5969093956214,634.8741273933657,2022.6,585.6,2145.0,609.6
2022-02-15,2022-02-15 08:00:00,9,primary_54,2428.5,925.5,2483.335901265058,916.7859804091678,2465.7467588960235,884.5631399911589,2462.374970825505,873.4447307421375,2480.8676932410685,907.767570480462,2448.260800885476,906.788751010782,2258.1,751.2,2375.7,831.0
2022-02-15,2022-02-15 09:00:00,10,primary_54,2548.8,1168.2,2695.75452289203,1210.3557219861991,2639.453385899246,1160.6139880959497,2663.378587378956,1163.1335348460204,2640.9049996837234,1156.2636086837788,2642.2662541150403,1151.5222114046942,2541.3,1029.0,2639.1,1149.0
2022-02-15,2022-02-15 10:00:00,11,primary_54,2594.1,1306.5,2549.18534758804,1195.113006690732,2564.075980467893,1141.1321467071575,2567.0274550081267,1171.3425682337615,2562.933670632417,1147.5528867314963,2562.978974621335,1135.5277549282716,2532.3,1048.2,2633.1,1223.7
2022-02-15,2022-02-15 11:00:00,12,primary_54,2544.6,1259.7,2445.259443971523,1206.853384800073,2479.4655836619017,1120.8958782102534,2477.30157187086,1166.865867600099,2464.2640563536165,1137.346420277593,2485.0208574556937,1143.0240819052,2409.6,969.6,2578.8,1249.5
2022-02-15,2022-02-15 12:00:00,13,primary_54,2544.6,1260.9,2359.7751956036964,1150.9619448423537,2421.5784677760207,1101.6613397191722,2414.969720648141,1153.853120902329,2392.4799136792344,1099.9244463717048,2427.9678644369264,1088.2812739034102,2341.5,941.4,2569.8,1268.1
2022-02-15,2022-02-15 13:00:00,14,primary_54,2483.7,1290.0,2375.236753544623,1156.0935929914815,2420.7190225872573,1149.2449985907165,2422.973399065529,1179.4993619777676,2423.8243980527486,1140.5955693212438,2438.4663466015004,1140.0733566166646,2353.5,929.1,2429.7,1154.1
2022-02-15,2022-02-15 14:00:00,15,primary_54,2519.4,1219.2,2394.2320205777955,1132.1760180771514,2418.33353582826,1130.3253708010272,2443.3542159572216,1164.555676745689,2422.926032898853,1135.8485595416705,2434.547192711232,1106.2599461322152,2323.8,939.0,2393.1,1128.0
2022-02-15,2022-02-15 15:00:00,16,primary_54,2422.2,1146.0,2420.0385705781423,1078.4178302308987,2396.539026328949,1054.1132527329803,2421.1327708832428,1114.6701507834584,2409.1624744506703,1074.846084265592,2396.5592922535907,1044.4087206644224,2231.1,758.4,2383.8,1073.1
2022-02-15,2022-02-15 16:00:00,17,primary_54,2370.9,1007.1,2300.028083045747,917.20888050531,2319.356254094881,870.4306068947177,2354.9365043999373,913.7796922471016,2335.039505946023,910.2530963393164,2342.3800568475767,899.6543021630483,2023.8,512.7,2353.5,1002.3
2022-02-15,2022-02-15 17:00:00,18,primary_54,2541.3,975.6,2384.7154033597567,790.2191069564141,2403.7289596805526,812.2195140773638,2446.352052505658,842.5358501176402,2443.76734416982,829.6581102644947,2455.3294432306425,840.0500377787608,2120.1,492.3,2521.2,981.0
2022-02-15,2022-02-15 18:00:00,19,primary_54,2612.7,923.7,2540.0323261198314,800.6595036085854,2489.036293464085,795.4838418347036,2536.646327128933,832.2861181351096,2542.0288504264377,807.3812167634261,2527.2838913584696,850.8526760335302,2187.3,493.2,2722.2,981.0
2022-02-15,2022-02-15 19:00:00,20,primary_54,2497.5,759.9,2481.4292279165934,680.4032063139201,2441.823466565296,728.1588178273433,2490.163085959948,726.8749606682825,2485.4370421769504,721.5582296949184,2485.8532070507804,745.0382553099274,2229.6,517.2,2546.1,846.0
2022-02-15,2022-02-15 20:00:00,21,primary_54,2471.1,727.8000000000001,2408.920832147419,665.8451970195749,2392.6232463179617,696.9315793195693,2441.0493496089857,670.4634484567395,2428.2348579928957,684.4602221015566,2420.550617761417,682.9580987704459,2236.8,531.0,2443.2,704.1
