configuration,origin,MSE_P,MSE_Q,MAE_P,MAE_Q,analysis_period,paired_normalized_squared_loss,CRPS_P,CRPS_Q,paired_normalized_CRPS
S48-T60,2022-01-05,4397.203929944038,11434.536954378362,58.17624448594906,86.69125541311087,primary_54,0.16790442755746204,45.80034316551445,66.64807687995098,0.26428274430685567
S48-T60,2022-01-06,16471.796543377845,17087.61769190714,99.25034349513953,102.34072531068392,primary_54,0.385192790618602,76.7025465295705,79.53271338603713,0.3727895935206501
S48-T60,2022-01-07,92520.0644437622,86568.789202726,231.637202264823,219.8065612383638,primary_54,2.074480378979544,194.16506460907047,180.53018952805985,0.8984254057427967
S48-T60,2022-01-08,7276.937817878737,9121.26629216101,77.0150705317041,83.75619647736575,primary_54,0.1850580279185225,51.84751457334742,57.20312433863868,0.2594795741035207
S48-T60,2022-01-09,33211.03673705252,36356.776932080604,142.9272845644321,129.77592144928147,primary_54,0.7946685590255413,92.60008356612455,95.13075051905705,0.4481268093221502
S48-T60,2022-01-10,8509.403938809355,10770.463819256345,75.28276806224491,97.57977066371303,primary_54,0.21738874254661258,49.86935193214183,60.3220131309217,0.26111441179937733
S48-T60,2022-01-11,8070.5422094810865,10062.010546176532,73.85690912974216,72.74343413130343,primary_54,0.20472871227600486,46.28782739004616,60.03378615082308,0.2511606650069325
S48-T60,2022-01-12,3909.377314500562,11205.628148029247,48.49344157983962,87.71741072752724,primary_54,0.15912083565995655,41.84759554352327,71.55394209206617,0.2646637293375631
S48-T60,2022-01-13,16104.454413186466,3636.999717657054,104.22794328569377,53.42081524727592,primary_54,0.252854580782214,60.36827396047144,42.68439667811341,0.2500782102390076
S48-T60,2022-01-14,18244.329532359214,26884.150604418664,114.29268827536062,123.23692163439318,primary_54,0.5019905999754297,89.26348852095673,98.9303073500368,0.4477051793616572
S48-T60,2022-01-15,52826.44494489685,7428.560093904401,196.96136381193708,70.33090365719347,primary_54,0.7867995742332528,137.69224587022487,46.053001342889786,0.45876635579771596
S48-T60,2022-01-16,8457.398244951984,2501.3876028088534,70.48704512327575,36.985885687118596,primary_54,0.13838832282323899,58.05873876481589,32.87769692972953,0.22272631782756802
S48-T60,2022-01-17,18865.71398632147,6591.832090334414,110.53668250642295,54.47645292758588,primary_54,0.31828197711308986,66.38044206159712,38.16411144416381,0.25589909759157076
S48-T60,2022-01-18,13123.10739999265,9328.014940354647,101.3718687413597,86.34378495795274,primary_54,0.2663047492238696,74.04297728876121,53.13530670234628,0.3084277221945485
S48-T60,2022-01-19,8812.89661453102,9209.082286274916,84.01210994451411,78.36833992807878,primary_54,0.20672106954583935,57.120952622665406,55.57472403586576,0.26966897387771216
S48-T60,2022-01-20,10020.276556474428,4436.623693598933,80.85498155948407,53.00645902197963,primary_54,0.17790861228691293,64.61465571786302,44.52618167013782,0.26514357449923515
S48-T60,2022-01-21,5191.471651721352,11534.28100075663,58.21467376809793,88.52006946174106,primary_54,0.17962116501902708,44.976047318257,63.78101149849436,0.25589797327526087
S48-T60,2022-01-22,7278.001984294187,3405.8206085024744,73.34407710752248,42.139517668560934,primary_54,0.13095621933022022,56.29320050462088,38.09298190883925,0.2294762378972824
S48-T60,2022-01-23,4526.677424241006,7459.923158101871,53.49132126277228,68.55451198148029,primary_54,0.13202710848164934,37.08949638690894,49.74516733709669,0.20482115077727592
S48-T60,2022-01-24,3274.852608669269,14404.081356010907,42.12142372946507,101.57039842301015,primary_54,0.1807993430558244,35.18253550979718,70.25756608852066,0.2444866208625088
S48-T60,2022-01-25,13777.033910353186,6086.417537795106,110.10635452489593,60.920194617964135,primary_54,0.24448087297543303,68.2717563407891,44.52263683220148,0.274659284153015
S48-T60,2022-01-26,9835.64173956157,8849.674706238418,87.16146784224942,79.05579030695606,primary_54,0.21718910935453628,65.93628543869806,60.847100440595376,0.3040966653442055
S48-T60,2022-01-27,9290.326114605097,16892.443458046753,83.72642757909202,85.34271587216165,primary_54,0.2859455371856672,57.71292650768183,63.25058400290348,0.287911848092409
S48-T60,2022-01-28,2742.106003498008,7778.888192365342,38.65979365529635,75.96908512494547,primary_54,0.11084381215006232,34.05971570131077,51.67900407173884,0.20113901473626736
S48-T60,2022-01-29,6288.743012494483,8691.150758489273,69.77766083530037,80.00497170847127,primary_54,0.16758304295051712,51.31445207314972,54.12074609731982,0.25138471830298004
S48-T60,2022-01-30,3134.0735150759624,1882.7134959574105,41.07001378616192,33.863080184470135,primary_54,0.06033244291977746,40.55020783616519,33.644472027492704,0.17880087873612224
