n_hours,n_days,RMSE,MAE,MAPE%,SMAPE%,WMAPE%,Bias_y_minus_pred,CRPS,Pinball_mean,Coverage80,Width80,IntervalScore80,Coverage95,Width95,IntervalScore95,model_id,target,regime
1296,54,243.4713049443707,193.48409229943996,9.027814381717993,8.699676309113592,8.809168747542888,-70.31137262434706,145.93780931760347,76.32451351146585,0.6273148148148148,442.5570499113175,980.4896289103638,0.8101851851851852,689.2462877802654,1555.8117900360728,mi_top_k_nolags_LGBM,P_Power,before_2022-02-24
120,5,346.4298967415777,298.53224124769133,18.067287586722717,16.109540161747915,16.846146190004642,-283.2427483044677,246.55025086525106,128.3758606677616,0.30833333333333335,442.5570499113174,1867.8505724653648,0.5,689.2462877802653,3499.8454637219206,mi_top_k_nolags_LGBM,P_Power,from_2022-02-24
1296,54,129.6227324505588,93.98816645399855,4.285520104389351,4.201698277162696,4.279202536630549,-19.857710293318856,69.29835808282387,36.221108463570616,0.845679012345679,344.5562541364166,446.4425749905083,0.9529320987654321,520.7069636567271,654.5318367495197,mutual_lags_LGBM_0,P_Power,before_2022-02-24
120,5,192.03265748353056,146.3509924627293,8.323797406571671,7.876188722198307,8.258572688079706,-79.89258383910484,113.82170679849517,59.59518189427392,0.6333333333333333,344.55625413641644,732.2257750032819,0.8333333333333334,520.7069636567271,1158.2692230616324,mutual_lags_LGBM_0,P_Power,from_2022-02-24
1296,54,124.07230953026038,91.2753454801836,4.198105637765425,4.143296720337214,4.155690068725824,-8.158217331076735,66.85305621527242,34.9773878573798,0.8425925925925926,336.6713704901218,434.43554182654907,0.9660493827160493,511.8264342855597,611.778343751313,mutual_lags_LGBM_1,P_Power,before_2022-02-24
120,5,163.90357282385588,121.7085677194511,6.996575431057223,6.656218306406416,6.868002986239629,-69.30490624847042,95.63712756343253,50.06974272009014,0.65,336.6713704901219,664.9560633669877,0.8333333333333334,511.8264342855598,904.3221128895915,mutual_lags_LGBM_1,P_Power,from_2022-02-24
1296,54,140.50910482941126,101.14993540436132,4.666775859745312,4.59203251905649,4.605271881478912,-5.68144166843465,76.15243931819656,39.8392608577308,0.8024691358024691,340.3172981666193,504.87249589113947,0.9382716049382716,537.8309721635119,759.7411036143177,mutual_lags_LGBM_2,P_Power,before_2022-02-24
120,5,192.91048304378802,152.13350185233693,8.764432660050042,8.296171279762872,8.58487914702456,-84.75188923162736,116.56871531341184,61.02502982727243,0.6083333333333333,340.31729816661937,794.1310648968972,0.8,537.8309721635117,1249.7026424358496,mutual_lags_LGBM_2,P_Power,from_2022-02-24
1296,54,129.3408190255236,94.32096609445955,4.316007932006252,4.255088709579788,4.2943546256581335,-7.6981081591555975,69.21517918739741,36.20367857725866,0.845679012345679,350.617869158557,448.3571163897401,0.9614197530864198,543.0753950400299,661.2794947277538,own_lags_LGBM_0,P_Power,before_2022-02-24
120,5,200.31563804996588,151.2156542775344,8.72684365619817,8.211307982717349,8.533085095029902,-93.50581030825528,118.22347826595939,61.883078459418016,0.6083333333333333,350.61786915855714,810.0953953937067,0.7916666666666666,543.0753950400299,1379.251095898542,own_lags_LGBM_0,P_Power,from_2022-02-24
1296,54,131.43567015145965,96.38291182924692,4.415838518386415,4.367318712641993,4.388233288808938,-3.1986388690667367,70.8247571225573,37.03306903188873,0.8479938271604939,353.5425914091174,464.71852066697693,0.9583333333333334,531.2925461923999,667.1289459024877,own_lags_LGBM_1,P_Power,before_2022-02-24
120,5,182.83411340937147,140.64985149185912,8.151893422172654,7.725985028678206,7.936857841322443,-75.14431202876486,105.39185070712166,55.07874816418728,0.6583333333333333,353.54259140911745,715.3138218176969,0.8583333333333333,531.2925461923998,1195.3776332423213,own_lags_LGBM_1,P_Power,from_2022-02-24
1296,54,132.47379483973972,97.29061067980302,4.479003683692544,4.407612751331953,4.4295600575963405,-11.766117525567802,71.81300214633438,37.53021622047134,0.8333333333333334,344.4711392448099,468.36441077527166,0.9537037037037037,555.2592753349863,714.4875058671922,own_lags_LGBM_2,P_Power,before_2022-02-24
120,5,180.9738844737277,136.4256338488398,7.933452356603035,7.497165923645201,7.6984856385235565,-88.93722658567509,106.91648451651447,55.835326181071764,0.6583333333333333,344.4711392448098,717.318038675416,0.8416666666666667,555.2592753349862,1214.0048757120264,own_lags_LGBM_2,P_Power,from_2022-02-24
